Author,Year,Title,Journal,Keywords,JEL.Codes,Date.Created,Article.Link
Matthieu Clément,2012,"Food availability, food entitlements, and radicalism during the Chinese great leap forward famine: an econometric panel data analysis",Cliometrica,"Great leap forward, Famine, Food availability, Entitlements, Dynamic panel data models, Generalized method of moments",N55; O21; P21; P25; P32,2012-01-16,https://econpapers.repec.org/article/afccliome/v_3a6_3ay_3a2012_3ai_3a1_3ap_3a89-114.htm
V Bhaskar and Bishnupriya Gupta,2012,Parental altruism and child labor: examining the historical evidence from the United States,Cliometrica,"Child labor, Parental altruism, Two-sided altruism",D13; J13; N31,2012-10-15,https://econpapers.repec.org/article/afccliome/v_3a6_3ay_3a2012_3ai_3a3_3ap_3a249-266.htm
Emanuele Felice,2012,"Regional convergence in Italy, 1891–2001: testing human and social capital",Cliometrica,"Italy, Regions, Convergence, Human capital, Social capital",E13; E24; N93; N94; O47; R10,2012-10-15,https://econpapers.repec.org/article/afccliome/v_3a6_3ay_3a2012_3ai_3a3_3ap_3a267-306.htm
Claudia Rei,2013,Incentives in merchant empires: Portuguese and Dutch compensation schemes,Cliometrica,"Merchant empires, Labor compensation, Monitoring",J33; N33,2013-01-23,https://econpapers.repec.org/article/afccliome/v_3a7_3ay_3a2013_3ai_3a1_3ap_3a1-13.htm
Rodney Edvinsson,2013,Swedish GDP 1620-1800: stagnation or growth ?,Cliometrica,"GDP, Sweden, Agriculture, Maddison, Economic growth, Early modern",N13; N33; N53,2013-01-23,https://econpapers.repec.org/article/afccliome/v_3a7_3ay_3a2013_3ai_3a1_3ap_3a37-60.htm
"Brian Beach, Stephen Norman and Douglas Wills",2013,Time or spot ? A revaluation of Amsterdam market data prior to 1747,Cliometrica,"Early financial markets, Spot and forward markets",C22; G14; N23,2013-01-23,https://econpapers.repec.org/article/afccliome/v_3a7_3ay_3a2013_3ai_3a1_3ap_3a61-85.htm
Bertil Holmlund,2013,Wage and employment determination in volatile times: Sweden 1913-1939,Cliometrica,"Wage determination, Labor demand, Interwar labor markets",J23; J31; N14; N34,2013-04-30,https://econpapers.repec.org/article/afccliome/v_3a7_3ay_3a2013_3ai_3a2_3ap_3a131-159.htm
Matthias Zehetmayer,2013,"Health, market integration, and the urban height penalty in the US, 1847–1894",Cliometrica,"Anthropometrics, Urban, Health, Market integration, Urbanization, Height, US, Nineteenth century",N00; N11; N31; N71; N91,2013-05-01,https://econpapers.repec.org/article/afccliome/v_3a7_3ay_3a2013_3ai_3a2_3ap_3a161-187.htm
Lee Craig and Robert Hammond,2013,Nutrition and signaling in slave markets: a new look at a puzzle within the antebellum puzzle,Cliometrica,"Asymmetric information, Signaling, Nutrition, Stature, Slavery",D82; N31; N51,2013-04-30,https://econpapers.repec.org/article/afccliome/v_3a7_3ay_3a2013_3ai_3a2_3ap_3a189-206.htm
Claudia Rei,2014,Careers and wages in the Dutch East India Company,Cliometrica,"Merchant empires, VOC, Careers, Wages",J31; M51; N33,2014-03-14,https://econpapers.repec.org/article/afccliome/v_3a8_3ay_3a2014_3ai_3a1_3ap_3a27-48.htm
Péter Földvári and Bas van Leeuwen,2014,"Educational and income inequality in Europe, ca. 1870–2000",Cliometrica,"Average years of education, Economic development, Inequality Kuznets-curve",J24; N10; O47,2014-09-05,https://econpapers.repec.org/article/afccliome/v_3a8_3ay_3a2014_3ai_3a3_3ap_3a271-300.htm
Giuseppina Gianfreda and Fabrizio Mattesini,2015,Adverse clearings in a monetary system with multiple note issuers: the case of Italy (1861-1893),Cliometrica,"Adverse clearings, Par redemption, Competing monies",C33; E42; N13,2015-01-23,https://econpapers.repec.org/article/afccliome/v_3a9_3ay_3a2015_3ai_3a1_3ap_3a1-25.htm
Paul L. E. Grieco and Nicolas Ziebarth,2015,Unigeniture in an uncertain world,Cliometrica,"Unigeniture, Risk sharing, Inheritance",D10; N33,2015-04-28,https://econpapers.repec.org/article/afccliome/v_3a9_3ay_3a2015_3ai_3a2_3ap_3a139-166.htm
Rodney Edvinsson,2015,Recalculating Swedish pre-census demographic data: Was there acceleration in early modern population growth?,Cliometrica,"Population, Growth, Demography, Early modern",J1; N33,2015-04-28,https://econpapers.repec.org/article/afccliome/v_3a9_3ay_3a2015_3ai_3a2_3ap_3a167-191.htm
"Juan A. Sanchis Llopis, Juan A. Sanchis-Llopis, Vicente Esteve and Antonio Cubel",2015,"Total factor productivity, domestic knowledge accumulation, and international knowledge spillovers in the second half of the twentieth century",Cliometrica,"Innovation, International technology transfer, Productivity, Second half XXth century",N14; O22; O33; O47,2015-04-28,https://econpapers.repec.org/article/afccliome/v_3a9_3ay_3a2015_3ai_3a2_3ap_3a209-233.htm
Ian Keay,2015,"Immunity from the resource curse? The long run impact of commodity price volatility: evidence from Canada, 1900–2005",Cliometrica,"Commodity price volatility, Resource-based growth, Early industrialization",N52; O13; Q32,2015-09-02,https://econpapers.repec.org/article/afccliome/v_3a9_3ay_3a2015_3ai_3a3_3ap_3a333-358.htm
Giulio Cifarelli and Paolo Paesani,2016,Speculative pricing in the Liverpool cotton futures market: a nonlinear tale of noise traders and fundamentalists from the 1920s,Cliometrica,Behavioral finance Speculation Historical cotton futures markets,F31; F33; N13; N23,2016-01-06,https://econpapers.repec.org/article/afccliome/v_3a10_3ay_3a2016_3ai_3a1_3ap_3a31-54.htm
Bogang Jun and Tai-Yoo Kim,2017,Non-financial hurdles for human capital accumulation: landownership in Korea under Japanese rule,Cliometrica,"Inequality, Education, Development, Korean economic history",I25; N35; Q15,2017-01-11,https://econpapers.repec.org/article/afccliome/v_3a11_3ay_3a2017_3ai_3a1_3ap_3a63-92.htm
Alex Armstrong and Frank Lewis,2017,Transatlantic wage gaps and the migration decision: Europe–Canada in the 1920s,Cliometrica,"Immigration, Wage differentials, Borrowing constraints, Status",J61; N32; N34,2017-05-17,https://econpapers.repec.org/article/afccliome/v_3a11_3ay_3a2017_3ai_3a2_3ap_3a153-182.htm
Anna Missiaia,2019,Market versus endowment: explaining early industrial location in Italy (1871–1911),Cliometrica,"Economic geography, Economic history of Italy, Industrial location",N33; N73; N93; O18; R11,2019-01-23,https://econpapers.repec.org/article/afccliome/v_3a13_3ay_3a2019_3ai_3a1_3ap_3a127-161.htm
Andrew Bossie,2020,Monetary and fiscal interactions in the USA during the 1940s,Cliometrica,"World War II, Banking, Fiscal policy, Monetary policy",E51; E62; H56; N22; N42,2020-01-10,https://econpapers.repec.org/article/afccliome/v_3a14_3ay_3a2020_3ai_3a1_3ap_3a61-103.htm
"Maria Carmela Schisani, Luigi Balletta and Giancarlo Ragozini",2021,Crowding out the change: business networks and persisting economic elites in the South of Italy over Unification (1840–1880),Cliometrica,"Economic elites, Social network analysis, Italian Unification, Economic history of the South of Italy in the nineteenth century",L14; N23; N83; N93,2021-09-07,https://econpapers.repec.org/article/afccliome/v_3a15_3ay_3a2021_3ai_3a1_3ap_3a89-131.htm
Amélie Charles and Olivier Darné,2021,Econometric history of the growth–volatility relationship in the USA: 1919–2017,Cliometrica,"Growth–volatility relationship, Breaks, Shock, GARCH-M model, Cliometrics",C22; E32; N12; O40,2021-09-07,https://econpapers.repec.org/article/afccliome/v_3a15_3ay_3a2021_3ai_3a2_3ap_3a419-442.htm
"Federico Pablo-Martí, Ángel Alañón-Pardo and Angel Sánchez",2021,Complex networks to understand the past: the case of roads in Bourbon Spain,Cliometrica,Road network · Spain · GIS · Agent based simulation,C63; C8; N73; R42,2021-09-07,https://econpapers.repec.org/article/afccliome/v_3a15_3ay_3a2021_3ai_3a3_3ap_3a477-534.htm
Rebeca Echávarri,2022,Neonatal discrimination and excess female mortality in childhood in Spain in the first half of the twentieth century,Cliometrica,Child development · Sex-based discrimination · Mortality · War · Kinship systems · Bargaining power,I3; J16; N; N34; N44,2022-01-09,https://econpapers.repec.org/article/afccliome/v_3a16_3ay_3a2022_3ai_3a1_3ap_3a79-104.htm
"Klas Rönnbäck, Oskar Broberg and Stefania Galli",2022,"A colonial cash cow: the return on investments in British Malaya, 1889–1969",Cliometrica,Return on investments · Colonialism · Imperialism · Malaya · Asia · Twentieth century,F21; F54; G15; N25,2022-01-09,https://econpapers.repec.org/article/afccliome/v_3a16_3ay_3a2022_3ai_3a1_3ap_3a149-173.htm
Rachel Kranton and Anand Swamy,2008,"Contracts, Hold-Up, and Exports: Textiles and Opium in Colonial India",American Economic Review ,,D86; L67; N65; N75; O13; O19; Q13,2013-01-08,https://econpapers.repec.org/article/aeaaecrev/v_3a98_3ay_3a2008_3ai_3a3_3ap_3a967-89.htm
Knick Harley,2000,A Review of O'Rourke and Williamson's Globalization and History: The Evolution of a Nineteenth Century Atlantic Economy,Journal of Economic Literature ,,F02; N11; N13,2013-01-06,https://econpapers.repec.org/article/aeajeclit/v_3a38_3ay_3a2000_3ai_3a4_3ap_3a926-935.htm
Peter Temin,2008,Real Business Cycle Views of the Great Depression and Recent Events: A Review of Timothy J. Kehoe and Edward C. Prescott's Great Depressions of the Twentieth Century,Journal of Economic Literature ,,E13; E32; N10; O47,2013-01-04,https://econpapers.repec.org/article/aeajeclit/v_3a46_3ay_3a2008_3ai_3a3_3ap_3a669-84.htm
Robert Allen,2008,A Review of Gregory Clark's A Farewell to Alms: A Brief Economic History of the World,Journal of Economic Literature ,,N00,2013-01-04,https://econpapers.repec.org/article/aeajeclit/v_3a46_3ay_3a2008_3ai_3a4_3ap_3a946-73.htm
Mark Gersovitz,2009,A Review of Michael Tomz's Reputation and International Cooperation: Sovereign Debt across Three Centuries,Journal of Economic Literature ,,F34; N20,2013-01-04,https://econpapers.repec.org/article/aeajeclit/v_3a47_3ay_3a2009_3ai_3a2_3ap_3a475-81.htm
Mark Roe and Jordan I. Siegel,2009,Finance and Politics: A Review Essay Based on Kenneth Dam's Analysis of Legal Traditions in The Law-Growth Nexus,Journal of Economic Literature ,,E23; H11; K10; K40; N40; O17; O40,2013-01-04,https://econpapers.repec.org/article/aeajeclit/v_3a47_3ay_3a2009_3ai_3a3_3ap_3a781-800.htm
Robert Bates,2010,"A Review of Douglass C. North, John Joseph Wallis, and Barry R. Weingast's Violence and Social Orders: A Conceptual Framework for Interpreting Recorded Human History",Journal of Economic Literature ,,D72; N40; O10; Z13,2013-01-04,https://econpapers.repec.org/article/aeajeclit/v_3a48_3ay_3a2010_3ai_3a3_3ap_3a752-56.htm
Orley Ashenfelter,2012,Economic History or History of Economics? Grand Pursuit: The Story of Economic Genius: Review Essay,Journal of Economic Literature ,,B10; B20; B30; N00,2013-01-04,https://econpapers.repec.org/article/aeajeclit/v_3a50_3ay_3a2012_3ai_3a1_3ap_3a96-102.htm
Branko Milanovic,2014,"The Return of ""Patrimonial Capitalism"": A Review of Thomas Piketty's Capital in the Twenty-First Century",Journal of Economic Literature ,,B10; D31; D33; E25; N30; P16,2014-06-19,https://econpapers.repec.org/article/aeajeclit/v_3a52_3ay_3a2014_3ai_3a2_3ap_3a519-34.htm
Stephen Williamson,2016,Current Federal Reserve Policy under the Lens of Economic History: A Review Essay,Journal of Economic Literature ,,E32; E52; E58; G01; G21; G28; N10,2018-06-15,https://econpapers.repec.org/article/aeajeclit/v_3a54_3ay_3a2016_3ai_3a3_3ap_3a922-34.htm
Alberto Bisin,2017,"The Evolution of Value Systems: A Review Essay on Ian Morris's Foragers, Farmers, and Fossil Fuels",Journal of Economic Literature ,,A13; D02; N30; N60; Z13,2018-06-15,https://econpapers.repec.org/article/aeajeclit/v_3a55_3ay_3a2017_3ai_3a3_3ap_3a1122-35.htm
Philip Hoffman,2017,"Public Economics and History: A Review of Fiscal Regimes and the Political Economy of Premodern States, Edited by Andrew Monson and Walter Scheidel",Journal of Economic Literature ,,E62; H20; H50; N40,2018-06-15,https://econpapers.repec.org/article/aeajeclit/v_3a55_3ay_3a2017_3ai_3a4_3ap_3a1556-69.htm
Allison Shertzer,2018,A Review Essay on Howard Bodenhorn's The Color Factor: The Economics of African-American Well-Being in the Nineteenth-Century South,Journal of Economic Literature ,,I12; I31; J15; J31; J71; N31,2018-06-15,https://econpapers.repec.org/article/aeajeclit/v_3a56_3ay_3a2018_3ai_3a1_3ap_3a206-16.htm
Charles Bean,2019,"A Review Essay: David Kynaston's Till Time's Last Sand: A History of the Bank of England, 1694–2013",Journal of Economic Literature ,,E52; E58; N13; N14; N23; N24,2019-12-05,https://econpapers.repec.org/article/aeajeclit/v_3a57_3ay_3a2019_3ai_3a4_3ap_3a972-87.htm
Avinash Dixit,2021,"""Somewhere in the Middle You Can Survive"": Review of The Narrow Corridor by Daron Acemoglu and James Robinson",Journal of Economic Literature ,,N10; O43; P51; Y30,2021-12-10,https://econpapers.repec.org/article/aeajeclit/v_3a59_3ay_3a2021_3ai_3a4_3ap_3a1361-75.htm
J. Bradford De Long,1996,"Keynesianism, Pennsylvania Avenue Style: Some Economic Consequences of the Employment Act of 1946",Journal of Economic Perspectives ,,E60; N12; N42,2012-12-15,https://econpapers.repec.org/article/aeajecper/v_3a10_3ay_3a1996_3ai_3a3_3ap_3a41-53.htm
Nicholas Crafts,1998,Forging Ahead and Falling Behind: The Rise and Relative Decline of the First Industrial Nation,Journal of Economic Perspectives ,,E20; N10,2012-12-15,https://econpapers.repec.org/article/aeajecper/v_3a12_3ay_3a1998_3ai_3a2_3ap_3a193-210.htm
Charles Clotfelter,1999,The Familiar but Curious Economics of Higher Education: Introduction to a Symposium,Journal of Economic Perspectives ,,I21; N31; N32,2012-12-06,https://econpapers.repec.org/article/aeajecper/v_3a13_3ay_3a1999_3ai_3a1_3ap_3a3-12.htm
Richard Easterlin,2000,The Worldwide Standard of Living since 1800,Journal of Economic Perspectives ,,I31; N30,2012-12-07,https://econpapers.repec.org/article/aeajecper/v_3a14_3ay_3a2000_3ai_3a1_3ap_3a7-26.htm
Nancy Folbre and Julie Nelson,2000,For Love or Money--Or Both?,Journal of Economic Perspectives ,,D13; I31; J10; N31; N32,2012-12-07,https://econpapers.repec.org/article/aeajecper/v_3a14_3ay_3a2000_3ai_3a4_3ap_3a123-140.htm
Daniel Sichel,2022,The Price of Nails since 1695: A Window into Economic Change,Journal of Economic Perspectives ,,D33; F11; L11; L61; N61; N62; N63,2022-02-09,https://econpapers.repec.org/article/aeajecper/v_3a36_3ay_3a2022_3ai_3a1_3ap_3a125-50.htm
Philip Clarke and Guido Erreygers,2023,Retrospectives: Edgar Sydenstricker: Household Equivalence Scales and the Causes of Pellagra,Journal of Economic Perspectives ,,B19; B31; D12; I12; I18; N31; N32,2023-05-05,https://econpapers.repec.org/article/aeajecper/v_3a37_3ay_3a2023_3ai_3a2_3ap_3a231-46.htm
Robert Lucas,2013,Glass-Steagall: A Requiem,American Economic Review ,,E31; E44; E52; E58; G21; G28; N22,2013-05-21,https://econpapers.repec.org/article/aeaaecrev/v_3a103_3ay_3a2013_3ai_3a3_3ap_3a43-47.htm
Rodolfo Manuelli and Ananth Seshadri,2014,Frictionless Technology Diffusion: The Case of Tractors,American Economic Review ,,L62; N51; N52; N71; N72; O33; Q11,2014-04-03,https://econpapers.repec.org/article/aeaaecrev/v_3a104_3ay_3a2014_3ai_3a4_3ap_3a1368-91.htm
Thomas Philippon,2015,Has the US Finance Industry Become Less Efficient? On the Theory and Measurement of Financial Intermediation,American Economic Review ,,D24; E44; G21; G32; N22,2015-03-28,https://econpapers.repec.org/article/aeaaecrev/v_3a105_3ay_3a2015_3ai_3a4_3ap_3a1408-38.htm
Charles W. Calomiris and Jonathan Pritchett,2016,Betting on Secession: Quantifying Political Events Surrounding Slavery and the Civil War,American Economic Review ,,D72; D74; D83; G14; H77; N31; N41,2018-06-15,https://econpapers.repec.org/article/aeaaecrev/v_3a106_3ay_3a2016_3ai_3a1_3ap_3a1-23.htm
Nicholas Crafts,2016,The Rise and Fall of American Growth: Exploring the Numbers,American Economic Review ,,E23; E32; E65; I31; N11; N12; O47,2018-06-15,https://econpapers.repec.org/article/aeaaecrev/v_3a106_3ay_3a2016_3ai_3a5_3ap_3a57-60.htm
"Nava Ashraf, Edward L. Glaeser and Giacomo Ponzetto",2016,"Infrastructure, Incentives, and Institutions",American Economic Review ,,H54; H76; I15; I18; N91; Q53; R53,2018-06-15,https://econpapers.repec.org/article/aeaaecrev/v_3a106_3ay_3a2016_3ai_3a5_3ap_3a77-82.htm
Gary Gorton and Ellis Tallman,2016,Too Big to Fail before the Fed,American Economic Review ,,E32; E44; G01; G21; G28; N21,2018-06-15,https://econpapers.repec.org/article/aeaaecrev/v_3a106_3ay_3a2016_3ai_3a5_3ap_3a528-32.htm
Robert Shiller,2017,Narrative Economics,American Economic Review ,,D72; E32; G01; N10,2018-06-15,https://econpapers.repec.org/article/aeaaecrev/v_3a107_3ay_3a2017_3ai_3a4_3ap_3a967-1004.htm
"Nicolas Petrosky-Nadeau, Lu Zhang and Lars-Alexander Kuehn",2018,Endogenous Disasters,American Economic Review ,,E22; E23; E24; E32; J41; J63; N12,2018-07-26,https://econpapers.repec.org/article/aeaaecrev/v_3a108_3ay_3a2018_3ai_3a8_3ap_3a2212-45.htm
Albrecht Glitz and Erik Meyersson,2020,Industrial Espionage and Productivity,American Economic Review ,,L16; N44; O33; O38; O47; P24,2020-04-01,https://econpapers.repec.org/article/aeaaecrev/v_3a110_3ay_3a2020_3ai_3a4_3ap_3a1055-1103.htm
Christopher Hanes,2000,"Nominal Wage Rigidity and Industry Characteristics in the Downturns of 1893, 1929, and 1981",American Economic Review ,,E24; E32; J31; L11; N31; N32,2013-01-11,https://econpapers.repec.org/article/aeaaecrev/v_3a90_3ay_3a2000_3ai_3a5_3ap_3a1432-1446.htm
